DAY,SR.NO,HOUR,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,ME -EV,,,,MCA 1st Year,,,,,,,,,,2MCA1,,,,,,,,1ME AI,,,,ME CSE 1st Year,,,,,,,,M.Tech. (EST),,MSC Ist Yr CHEM ,,,,MSc(PHY) 1,,,,MSc(PHY) 2,,MSc -Mathematics & Computing,,MSc -Mathematics & Computing,,M.E. CIVIL,,,,PG-MEE (Mechanical),,M.Tech. BTD,,MSC BTD 1st Year,,,,MSC BTD 2nd Year,,,,P.H.D,
,,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,MTECH VLSI     FIRST SEM,,1ST YEAR(EIED),,MTECH VLSI     ,,1MCA 1,,1MCA 2,,1MCA 3,,1MCA 4,,1MCA 5,,2MCA 1,,2MCA2,,2MCA3,,2MCA4,,1MEAI 1,,1MEAI 2,,1ME(CS)1,,1ME(CS)2,,1ME(CS)3,,1ME(CS)4,,,,MSC Ist Yr CHEM ,,MSC IInd Yr CHEM ,,G1,,,,G1,,1ST YEAR,,2ND YEAR,,M.E. STRUCTURES Ist SEM,,M.E. TRANSPORTATION Ist SEM,,,,M.Tech. 1 (BT),,MS 1(BT1),,MS 1(BT2),,MS 2(BT1),,MS 2(BT2),,,
,11,4:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,PVL204L,,LAB,,,,,,,,,,MCA312L,,,,,,,,PAI103L,,,,,,,,LAB,,,,,,,,DSH,,,,,,,,,,,,PPB,,TNC,,,,Biochemistry Lab,DS,Bioprocess Lab,SS,Micro Lab,DG,CORE,AKR,Mol Bio Lab,SDS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,GPK,RJK,,,,,,,,,,LP106,,,,,,,ABK,LP108,,,RAH,,,,,SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,5:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,6:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,PEV103P,,,,MCA102L,,,,,,,,,,,,,,,,,,,,PAI101P,,,,,,,,,,,,,,,,,,,,,,,,PMA303P,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,H220,TA1,,,LP106,,,,,,,KUC,,,,,,,,,,,,,NS2(L103),,,,,,,,,,,,,,,,,,,,,,,,E305,,,,,,,,,,,,,,,,,,,
,2,8:50:AM ,,,,,,,,,,,,,,,,,,,,,,,,,,,MCA302L,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,PPH312L,,,,LAB,,,,,,,,,,PBT110L ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP106,,,,,,,SUS,,,,,,,,,,,,,HMG,,,,,,,,,,,,,,,,,,,,E202,SOJ,,,KV,,,,,,,,,,F305,,DG,,,,,,,
,3,9:40: AM ,,,,,,,,,,,,,,,,,,,,,,,,,PVL103L,,MCA102P,,MCA109P,,MCA302P,,MCA103P,,,,,,MCA303P,,,,,,PHU004L,,,,PHU004L,,,,,,,,PES116L,,PCYXXXL,,,,PHY103L,,,,PPH312L,,PMC L,,PMA301L,,PCL105L,,PCL105L,,PCL108L,,PBY109L,,PBT115L ,,,,PBT305L ,,,,,
W,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,AKC,DBMS1(L206),,ML(L009),,NS1(L102),,ES1(L401),,,,,,L101,,,,,,LP106,,,RAV,LP106,,,,,,,RAV,F308,SV,T202,AAL,,,E314,,,LKB,E202,SOJ,F211,YK,F212,SC,E201,VJK,E201,VJK,E201,VJK,F306,DD,F305,, SS,,F307,, AKR,,,
,4,10:30: AM,,,,,,,,,,,,,,,,,,,,,,,,,PVL112L,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,,,,,PAI102L,,,,PCS111L,,,,,,,,PES111L,,PIMXXXL,,PCY307L,,PHY101L,,,,PPH303L,,PMC T,,PMA304L,,PCE103L,,PTE102L,,PCD103L,,PBY106L ,,PBT114L ,,,,PBT301L ,,,,DMC007L,
E,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,SKR,KUC,,ASK,,SUS,,NDH,,,,,,SNL-RA,,,,,,LP108,,,AMT,LP106,,,,,,,HAR,F308,ADH,T202,HG,T203,KPU,E314,,,DKS,E202,BCM,F211,YK,F212,AK,E203,PPB,E204,MNP,E201,ASL,F306,NL,F305 ,,VKH,,F307,,SDS,,F105,VJK
,5,11:20 AM,,,,,,,,,,,,,,,,,,,,,,,PEV105L,,PVL204P,,MCA103L,,,,,,,,,,MCA203L,,,,,,,,PAI102P,,,,,,,,PCS108P,,,,PES116T,,PCYXXXL,,PCY308L,,PHY101L,,,,PPH308L,,PYTHON L,,PMC303L,,PCE101P,,PTE105L,,PCD107L,,PBY107L  ,,PBT115L  ,,,,"PHU301L 
F307",,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,,E105                                                                            MBK,SKA,C334,,LT401,,,,,,,NDH,,,LT402,,,,,,,ABJ,DBMS2(L207),,,,,,,,L003,,,,F308,SV,T202,RKD,T203,VT,E314,,,DKS,E202,JTK,F211,SPN,F212,ASA,CED CAD LAB-2(D218),,E204,ABK,E201,JSS,F306,OVQ,F312,,AKR,,F307,,RAV,,,
